drug,extracted_class
timoptic-xe,beta-adrenergic blocker
timolol ,beta-adrenergic blocker
esmolol in saline (iso-osm),beta-adrenergic blocker
metoprolol succinate,beta-adrenergic blocker
timoptic,beta-adrenergic blocker
nadol,beta-adrenergic blocker
timolol maleate,beta-adrenergic blocker
timolo,beta-adrenergic blocker
timolol,beta-adrenergic blocker
atenolol,beta-adrenergic blocker
nadolol,beta-adrenergic blocker
betaxolol ophth susp  0.25%,beta-adrenergic blocker
metoprolol,beta-adrenergic blocker
bisoprolol fumarate,beta-adrenergic blocker
timolol maleate 0.25%,beta-adrenergic blocker
bystolic,beta-adrenergic blocker
timo,beta-adrenergic blocker
betoptic s,beta-adrenergic blocker
propranolo,beta-adrenergic blocker
labetalol,beta-adrenergic blocker
propr,beta-adrenergic blocker
tenormin,beta-adrenergic blocker
timolol maleate (pf),beta-adrenergic blocker
propranolol la,beta-adrenergic blocker
esmolol,beta-adrenergic blocker
metoprolol succinate xl,beta-adrenergic blocker
betaxolol hcl  0.25%,beta-adrenergic blocker
tim,beta-adrenergic blocker
timop,beta-adrenergic blocker
carteolol 1% ophth soln,beta-adrenergic blocker
dorzolamide 2%/timolol 0.5% ophth.,beta-adrenergic blocker
cosopt,beta-adrenergic blocker
dorzolamide-timolol,beta-adrenergic blocker
levobunolol 0.5%,beta-adrenergic blocker
levobunolol,beta-adrenergic blocker
propranolol ,beta-adrenergic blocker
metoprolol ,beta-adrenergic blocker
metoprolol tartrate,beta-adrenergic blocker
timolol maleate 0.5% gfs,beta-adrenergic blocker
pindolol,beta-adrenergic blocker
propranolol,beta-adrenergic blocker
timolol maleate 0.5%,beta-adrenergic blocker
albut,beta2-adrenergic agonist
albuterol inhaler (proair),beta2-adrenergic agonist
proair hfa,beta2-adrenergic agonist
albuterol 0.083% neb soln,beta2-adrenergic agonist
albuterol mdi,beta2-adrenergic agonist
albuterol inh,beta2-adrenergic agonist
fluticasone-salmeterol (100/50),beta2-adrenergic agonist
fluticasone-salmeterol,beta2-adrenergic agonist
*nf* levalbuterol neb,beta2-adrenergic agonist
advair diskus,beta2-adrenergic agonist
albuterol,beta2-adrenergic agonist
xopenex neb,beta2-adrenergic agonist
albuter,beta2-adrenergic agonist
fluticasone-salmeterol diskus (100/50),beta2-adrenergic agonist
fluticasone-salmeterol diskus (250/50) ,beta2-adrenergic agonist
ventolin ,beta2-adrenergic agonist
xopenex,beta2-adrenergic agonist
fluticasone-salmeterol (250/50) ,beta2-adrenergic agonist
albuterol sulfate,beta2-adrenergic agonist
levalbuterol inhaler,beta2-adrenergic agonist
levalbuterol,beta2-adrenergic agonist
albuterol ,beta2-adrenergic agonist
adva,beta2-adrenergic agonist
levalbuterol hcl,beta2-adrenergic agonist
albuterol 0.5% continuous administration,beta2-adrenergic agonist
levalbuterol neb,beta2-adrenergic agonist
lev,beta2-adrenergic agonist
albu,beta2-adrenergic agonist
albuterol sulfate (extended release),beta2-adrenergic agonist
albuterol 0.,beta2-adrenergic agonist
xopenex concentrate,beta2-adrenergic agonist
ventolin hfa,beta2-adrenergic agonist
albuterol 0.5%,beta2-adrenergic agonist
albutero,beta2-adrenergic agonist
albute,beta2-adrenergic agonist
albuterol inhaler,beta2-adrenergic agonist
metformin (glucophage),biguanide
metformin,biguanide
ursodiol,bile acid
actigall,bile acid
urso forte,bile acid
cholestyramine,bile acid sequestrant
cholestyramine light,bile acid sequestrant
cholestyramine-sucrose,bile acid sequestrant
welchol,bile acid sequestrant
questran,bile acid sequestrant
colestid,bile acid sequestrant
colestipol,bile acid sequestrant
colesevelam,bile acid sequestrant
cholestyramine-aspartame,bile acid sequestrant
questran light,bile acid sequestrant
cholestyramine (bulk),bile acid sequestrant
zoledronic acid (reclast),bisphosphonate
alendronate ,bisphosphonate
fosamax,bisphosphonate
zoledronic acid,bisphosphonate
alen,bisphosphonate
zoledronic acid (zometa),bisphosphonate
alendronate,bisphosphonate
pamidronate,bisphosphonate
reclast,bisphosphonate
alendronate sodium,bisphosphonate
alendro,bisphosphonate
amino acids 5%-dextrose 15%,blood coagulation factor
balanced salt opth. soln,blood coagulation factor
calcium acetate,blood coagulation factor
prismasol  (b32 k0),blood coagulation factor
calcium gluconate,blood coagulation factor
calcium gluconate sliding scale (critical care-ionized calcium),blood coagulation factor
phoslo,blood coagulation factor
calcium,blood coagulation factor
calcium chloride,blood coagulation factor
pentoxifylline,blood viscosity reducer
firazyr,bradykinin b2 receptor antagonist
icatibant,bradykinin b2 receptor antagonist
neoral,calcineurin inhibitor immunosuppressant
cyclosporine,calcineurin inhibitor immunosuppressant
sandimmune,calcineurin inhibitor immunosuppressant
*nf* tacrolimus 0.1% ointment,calcineurin inhibitor immunosuppressant
tacrol,calcineurin inhibitor immunosuppressant
tacrolimus extended release (envarsus xr),calcineurin inhibitor immunosuppressant
cyclo,calcineurin inhibitor immunosuppressant
*nf* cyclosporine 0.05% ophth,calcineurin inhibitor immunosuppressant
envarsus xr,calcineurin inhibitor immunosuppressant
tacrolimus (prograf brand) suspension,calcineurin inhibitor immunosuppressant
cyclosporine (sandimmune),calcineurin inhibitor immunosuppressant
t,calcineurin inhibitor immunosuppressant
neoral ,calcineurin inhibitor immunosuppressant
tacrolimus (self med),calcineurin inhibitor immunosuppressant
cyclosporine 0.05% ophth emulsion,calcineurin inhibitor immunosuppressant
*nf* tacrolimus (extended release),calcineurin inhibitor immunosuppressant
tacrolimus (dr.reddy's) *nf*,calcineurin inhibitor immunosuppressant
restasis,calcineurin inhibitor immunosuppressant
tacrolimus suspension,calcineurin inhibitor immunosuppressant
tac,calcineurin inhibitor immunosuppressant
cyclosporine ,calcineurin inhibitor immunosuppressant
tacroli,calcineurin inhibitor immunosuppressant
tacrolimus (extended release),calcineurin inhibitor immunosuppressant
tacrolimus ,calcineurin inhibitor immunosuppressant
cyclosporin,calcineurin inhibitor immunosuppressant
tacrolimus,calcineurin inhibitor immunosuppressant
tacro,calcineurin inhibitor immunosuppressant
prograf suspension,calcineurin inhibitor immunosuppressant
tacrolimus (prograf brand) *nf*,calcineurin inhibitor immunosuppressant
tacr,calcineurin inhibitor immunosuppressant
tacrolimus (brand) *nf*,calcineurin inhibitor immunosuppressant
cyclosporine (neoral) modified,calcineurin inhibitor immunosuppressant
cyclosporine modified,calcineurin inhibitor immunosuppressant
prograf,calcineurin inhibitor immunosuppressant
miacal,calcitonin
calci,calcitonin
calcitoni,calcitonin
calcitonin (salmon),calcitonin
calcit,calcitonin
calc,calcitonin
calcitonin salmon,calcitonin
calcitonin,calcitonin
verapam,calcium channel blocker
dilt,calcium channel blocker
verapamil sr,calcium channel blocker
verapamil hcl,calcium channel blocker
diltiaz,calcium channel blocker
diltiazem extended-release,calcium channel blocker
verapamil,calcium channel blocker
verapa,calcium channel blocker
diltia,calcium channel blocker
diltiazem,calcium channel blocker
cinacalcet,calcium-sensing receptor agonist
cinacalcet hcl,calcium-sensing receptor agonist
sensipar,calcium-sensing receptor agonist
magnesium sulfate (ob),calculi dissolution agent
magnesium sulfate (latex free),calculi dissolution agent
magnesium sulfate,calculi dissolution agent
urocit-k 5,calculi dissolution agent
citrate dextrose 3% (acd-a) crrt,calculi dissolution agent
phoxillum (b22 k4),calculi dissolution agent
prismasol bgk2/0,calculi dissolution agent
magnesium ,calculi dissolution agent
potassium citrate,calculi dissolution agent
magnesium sulfate replacement (oncology),calculi dissolution agent
sterile water,calculi dissolution agent
urocit-k 10,calculi dissolution agent
magnesium sulfate replacement (critical care and oncology),calculi dissolution agent
magnesium,calculi dissolution agent
dronabinol,cannabinoid
dorzolamide,carbonic anhydrase inhibitor
brinzolamide-brimonidine,carbonic anhydrase inhibitor
dorzolamide-timolol (pf),carbonic anhydrase inhibitor
acetazolamide,carbonic anhydrase inhibitor
azopt,carbonic anhydrase inhibitor
brinzolamide,carbonic anhydrase inhibitor
cosopt,carbonic anhydrase inhibitor
azopt 1% ophth  (*nf* ),carbonic anhydrase inhibitor
acetazolamide s.r.,carbonic anhydrase inhibitor
dorzolamide-timolol,carbonic anhydrase inhibitor
acetazolamide sodium,carbonic anhydrase inhibitor
dorzolamide 2%/timolol 0.5% ophth.,carbonic anhydrase inhibitor
dorzolamide 2% ophth. soln.,carbonic anhydrase inhibitor
trusopt,carbonic anhydrase inhibitor
brinz,carbonic anhydrase inhibitor
brinzolamide 1% ophth (*nf* ),carbonic anhydrase inhibitor
cosopt (pf),carbonic anhydrase inhibitor
glucarpidase,carboxypeptidase
digoxin solution,cardiac glycoside
digoxin immune fab,cardiac glycoside
digoxin,cardiac glycoside
digifab,cardiac glycoside
levocarnitine,carnitine analog
*nf* tolcapone,catechol-o-methyltransferase inhibitor
tolcapone,catechol-o-methyltransferase inhibitor
entacapone,catechol-o-methyltransferase inhibitor
comtan,catechol-o-methyltransferase inhibitor
tasmar,catechol-o-methyltransferase inhibitor
*nf* entacapone,catechol-o-methyltransferase inhibitor
norepinephrine bitartrate,catecholamine
dopamine,catecholamine
norepinephrine,catecholamine
selzentry,ccr5 co-receptor antagonist
maraviroc,ccr5 co-receptor antagonist
axicabtagene ciloleucel,cd19-directed chimeric antigen receptor
obinutuzumab,cd20-directed cytolytic antibody
rituximab-pvvr (ruxience),cd20-directed cytolytic antibody
rituximab desensitization,cd20-directed cytolytic antibody
rituximab-abbs (truxima),cd20-directed cytolytic antibody
rituximab-pap,cd20-directed cytolytic antibody
rituximab,cd20-directed cytolytic antibody
rituximab (white bag),cd20-directed cytolytic antibody
rituximab-abbs (truxima) desensitization,cd20-directed cytolytic antibody
~rituximab,cd20-directed cytolytic antibody
brentuximab vedotin,cd30-directed immunoconjugate
brentuximab,cd30-directed immunoconjugate
gemtuzumab ozogamicin,cd33-directed immunoconjugate
daratumumab-hyaluronidase-fihj,cd38-directed cytolytic antibody
daratumumab,cd38-directed cytolytic antibody
alemtuzumab (campath),cd52-directed cytolytic antibody
alemtuzumab,cd52-directed cytolytic antibody
inv-dexmedetomidine,central alpha-2 adrenergic agonist
clonidine patch 0.1 mg/24 hr,central alpha-2 adrenergic agonist
clonidine tts 3 patch,central alpha-2 adrenergic agonist
clonidine patch 0.3 mg/24 hr,central alpha-2 adrenergic agonist
clonidine,central alpha-2 adrenergic agonist
clonidine patch 0.1,central alpha-2 adrenergic agonist
clonidine tts 2 patch,central alpha-2 adrenergic agonist
clonidine patch,central alpha-2 adrenergic agonist
catapres-tts-3,central alpha-2 adrenergic agonist
clonidine 7-day patch 0.3 mg/24 hr,central alpha-2 adrenergic agonist
clonidine 7-day patch 0.2 mg/24 hr,central alpha-2 adrenergic agonist
guanfacine,central alpha-2 adrenergic agonist
clonidine 7-day patch 0.1 mg/24 hr,central alpha-2 adrenergic agonist
dexmedetomidine,central alpha-2 adrenergic agonist
clonidine patch 0.2 mg/24 hr,central alpha-2 adrenergic agonist
clonidine tts 1 patch,central alpha-2 adrenergic agonist
tizanidine,central alpha-2 adrenergic agonist
dextroamphetamine-amphetamine,central nervous system stimulant
amphetamine,central nervous system stimulant
amphetami,central nervous system stimulant
amphe,central nervous system stimulant
dextroamphetamine,central nervous system stimulant
amphetamine salt combo,central nervous system stimulant
ampheta,central nervous system stimulant
amphetamine-dextroamphetamine,central nervous system stimulant
adder,central nervous system stimulant
methylphenidate hcl,central nervous system stimulant
adderall,central nervous system stimulant
concerta,central nervous system stimulant
amphetamine-dextroamphetamine xr,central nervous system stimulant
adderal,central nervous system stimulant
add,central nervous system stimulant
caffeine-sodium benzoate,central nervous system stimulant
*nf* adderall,central nervous system stimulant
methylphenidate sr,central nervous system stimulant
amphet,central nervous system stimulant
amph,central nervous system stimulant
caffeine,central nervous system stimulant
methylphenidate (ritalin),central nervous system stimulant
methylphenidate,central nervous system stimulant
cefepime,cephalosporin antibacterial
cefpodoxime,cephalosporin antibacterial
cefazolin,cephalosporin antibacterial
ceftazidime graded challenge,cephalosporin antibacterial
cefepime graded challenge,cephalosporin antibacterial
cefiderocol *nf*,cephalosporin antibacterial
ceftolozane-tazobactam,cephalosporin antibacterial
ceftazidime-avibactam (avycaz),cephalosporin antibacterial
ceftriaxone,cephalosporin antibacterial
ceftazidime desensitization,cephalosporin antibacterial
cefpodoxime proxetil,cephalosporin antibacterial
cephalexin,cephalosporin antibacterial
ceftazidime,cephalosporin antibacterial
ceftolozane-tazobactam *nf*,cephalosporin antibacterial
ceftriaxone graded challenge,cephalosporin antibacterial
*nf* ceftaroline,cephalosporin antibacterial
cefazolin 2 g,cephalosporin antibacterial
cefazolin desensitization,cephalosporin antibacterial
keflex,cephalosporin antibacterial
ceftazidime ophth soln 50mg/ml,cephalosporin antibacterial
ceftaroline desensitization,cephalosporin antibacterial
ceftaroline,cephalosporin antibacterial
cefoxitin,cephalosporin antibacterial
ceftriaxone desensitization,cephalosporin antibacterial
cefepime desensitization,cephalosporin antibacterial
ceftazidime-avibactam *nf*,cephalosporin antibacterial
lubricant eye drops,chloride channel activator
lubiprostone,chloride channel activator
thera tears,chloride channel activator
amitiza,chloride channel activator
sincalide,cholecystokinin analog
bethanechol,cholinergic muscarinic agonist
homatropine hbr,cholinergic muscarinic antagonist
vesicare,cholinergic muscarinic antagonist
oxybutynin xl   (*nf*) ,cholinergic muscarinic antagonist
oxybutynin chloride er,cholinergic muscarinic antagonist
tol,cholinergic muscarinic antagonist
*nf* solifenacin,cholinergic muscarinic antagonist
oxybutynin,cholinergic muscarinic antagonist
tolterodine,cholinergic muscarinic antagonist
solifenacin,cholinergic muscarinic antagonist
oxybutynin chloride,cholinergic muscarinic antagonist
oxyb,cholinergic muscarinic antagonist
detrol la,cholinergic muscarinic antagonist
nicotrol,cholinergic nicotinic agonist
nicotine,cholinergic nicotinic agonist
pilocarpine 1%,cholinergic receptor agonist
chantix,cholinergic receptor agonist
pilocarpine hcl (bulk),cholinergic receptor agonist
mirabegron,cholinergic receptor agonist
evoxac,cholinergic receptor agonist
cevimeline,cholinergic receptor agonist
pilocarpine 4%,cholinergic receptor agonist
pilocarpine hcl,cholinergic receptor agonist
pilocarpine 2%,cholinergic receptor agonist
pyridostigmine bromide,cholinesterase inhibitor
razadyne,cholinesterase inhibitor
exelon patch,cholinesterase inhibitor
mestinon timespan,cholinesterase inhibitor
pyridostigmi,cholinesterase inhibitor
neostigmine,cholinesterase inhibitor
razadyne er,cholinesterase inhibitor
pyridostigmine ,cholinesterase inhibitor
exelon,cholinesterase inhibitor
pyridostigmine bromide syrup,cholinesterase inhibitor
exelon (rivastigmine) 9.5 mg patch,cholinesterase inhibitor
donepezil,cholinesterase inhibitor
rivastigmine,cholinesterase inhibitor
pyridostigmine bromide sr,cholinesterase inhibitor
pyridostigmine,cholinesterase inhibitor
pyrid,cholinesterase inhibitor
galantamine,cholinesterase inhibitor
aricept,cholinesterase inhibitor
rivastigmine tartrate,cholinesterase inhibitor
rivastigmine ,cholinesterase inhibitor
neostigmine (cvicu reversal protocol),cholinesterase inhibitor
rivas,cholinesterase inhibitor
pralidoxime chloride,cholinesterase reactivator
collagenase ointment,collagen-specific enzyme
*nf* eculizumab,complement inhibitor
eculizumab *nf* ,complement inhibitor
pegcetacoplan,complement inhibitor
eculizumab,complement inhibitor
zinc chloride,copper absorption inhibitor
trace elements (tralement),copper absorption inhibitor
trace elements,copper absorption inhibitor
triamcinolone acetonide 0.025% cream,corticosteroid
prednisolone,corticosteroid
hydrocortisone,corticosteroid
methylp,corticosteroid
prednisone 40 mg/0mg,corticosteroid
fluocinolone acetonide 0.025% ointment,corticosteroid
budeson,corticosteroid
triamcinolone,corticosteroid
inv-prednisone,corticosteroid
dexamethaso,corticosteroid
fluticasone propionate,corticosteroid
qvar redihaler,corticosteroid
hydrocortisone na succ.,corticosteroid
dexametha,corticosteroid
betamethasone dipro 0.05% oint,corticosteroid
fluorometholone,corticosteroid
procto,corticosteroid
hydrocort,corticosteroid
prednisolone acetate,corticosteroid
fluocinolone acetonide 0.01% cream,corticosteroid
hydrocortisone cream,corticosteroid
fluocinolone acetonide 0.01% solution,corticosteroid
fluticasone,corticosteroid
dexame,corticosteroid
clobetasol propionate 0.05% cream,corticosteroid
dexamethasone sod phos,corticosteroid
clobetasol propionate 0.05% ointment,corticosteroid
methylprednisolone sodium succ,corticosteroid
fluocinonide 0.05% cream,corticosteroid
fluticasone ,corticosteroid
beclomethasone ,corticosteroid
prednisolone acetate 1% ophth. susp.,corticosteroid
fluticasone propionate 110mcg,corticosteroid
desonide 0.05%,corticosteroid
methylprednisolone,corticosteroid
dexamethas,corticosteroid
dexamethasone oral ,corticosteroid
dexamethason,corticosteroid
hydrocortisone val. cream 0.2%,corticosteroid
beclomethasone dipropionate,corticosteroid
hydrocortisone sod succ (pf),corticosteroid
dexa,corticosteroid
beconase,corticosteroid
betamethasone dipro 0,corticosteroid
fluticasone-salmeterol,corticosteroid
budesonide-formoterol,corticosteroid
proctosol hc,corticosteroid
desonide,corticosteroid
prednisone 40 mg/0mg ,corticosteroid
dexamethasone,corticosteroid
fluticasone-salmeterol diskus (500/50) ,corticosteroid
neomycin-polymyxin-hc,corticosteroid
flonase allergy relief,corticosteroid
d,corticosteroid
pred,corticosteroid
hydrocortisone sr,corticosteroid
florastor,corticosteroid
symbicort 80-4.5 mcghfa inhaler,corticosteroid
proctozone-hc,corticosteroid
hydrocor,corticosteroid
prednisone,corticosteroid
prednisone intensol,corticosteroid
dexameth,corticosteroid
solu-medrol,corticosteroid
lidex,corticosteroid
sulfacetamide-prednisolone ophth. oint.,corticosteroid
pred forte,corticosteroid
hydroco,corticosteroid
methylprednisolone na succ,corticosteroid
hydrocortisone (rectal) 2.5% cream,corticosteroid
fluocinonide,corticosteroid
fluticasone propionate nasal,corticosteroid
fluocinonide ,corticosteroid
dexamet,corticosteroid
pulm,corticosteroid
flovent diskus,corticosteroid
betamethasone dipro 0.05% cream,corticosteroid
triamcinolone dental paste,corticosteroid
dexamethasone sod phosphate,corticosteroid
cortisone,corticosteroid
dexam,corticosteroid
dex,corticosteroid
prednisolone sodium phosphate,corticosteroid
prednis,corticosteroid
triamcinolone acetonide,corticosteroid
predni,corticosteroid
clobetasol propionate 0.05% soln,corticosteroid
anusol-hc,corticosteroid
fluocinolone acetonide 0.025% cream,corticosteroid
*nf* budesonide neb solution,corticosteroid
betamethasone valerate 0.1% cream,corticosteroid
fluocinolone,corticosteroid
advair diskus,corticosteroid
inv-hydrocortisone,corticosteroid
cortef,corticosteroid
dexamethasone intensol,corticosteroid
hydrocortisone cream 1%,corticosteroid
prednisolone oral solution,corticosteroid
hydrocortisone-pramoxine,corticosteroid
clobex,corticosteroid
betamethasone dipropionate 0.05% oint,corticosteroid
betamethasone,corticosteroid
triamcinolone ,corticosteroid
dexamethasone ophthalmic susp 0.1%,corticosteroid
symbicort,corticosteroid
methylprednisolone acetate,corticosteroid
clobetasol propionate ,corticosteroid
bude,corticosteroid
fluocinonide 0.05% ointment,corticosteroid
hydrocortisone na succ,corticosteroid
triamcinolone acetonide 0.1% ointment,corticosteroid
hydrocortisone ,corticosteroid
fluorometholone 0.1% ophth susp.,corticosteroid
betamethasone dipro 0.05% augmented gel,corticosteroid
budesonide,corticosteroid
budes,corticosteroid
dexamethasone oral soln,corticosteroid
hydrocortisone sod succinate,corticosteroid
triamcinolone acetonide 0.1% cream,corticosteroid
neomycin-polymyxin-hc otic susp,corticosteroid
flutic,corticosteroid
betamethasone na. phos/acet,corticosteroid
methylprednisolone na suc,corticosteroid
methylpred,corticosteroid
dexamethasone ophthalmic soln 0.1%,corticosteroid
triamcinolone acetonide inj,corticosteroid
prelone,corticosteroid
dexamethasone oral soln (0.1mg/1ml),corticosteroid
inv-dexamethasone,corticosteroid
betamethasone dipropionate,corticosteroid
flove,corticosteroid
prednisolone acetate 0.12% ophth. susp.,corticosteroid
hydrocortisone na succinate,corticosteroid
desonide 0.05% cream,corticosteroid
hydrocortisone acetate 10%  foam,corticosteroid
aluminum hydroxide suspension,corticosteroid
hydrocortisone acetate suppository,corticosteroid
prednisolone ,corticosteroid
de,corticosteroid
flon,corticosteroid
budeso,corticosteroid
dexamethasone susp 0.1%,corticosteroid
hydrocortis,corticosteroid
clobetasol propionate 0.05% gel,corticosteroid
inv-prednisolone acetate 1% ophth,corticosteroid
triamcinolone acetonide 0.025% ointment,corticosteroid
inv-prednisolone ophthalmic 1%,corticosteroid
hydrocortisone enema,corticosteroid
hydrocortisone oint 1%,corticosteroid
flona,corticosteroid
methylprednisolone sod succ ,corticosteroid
beclomethasone,corticosteroid
flonase,corticosteroid
prednisone ,corticosteroid
hydrocortisone cream 2.5%,corticosteroid
betamethasone dipro 0.05% lot.,corticosteroid
pulmicort,corticosteroid
hydrocortisone cream 0.5%,corticosteroid
betamethasone valerate 0.1% ointment,corticosteroid
flonas,corticosteroid
clobetasol,corticosteroid
dexamethasone ,corticosteroid
predforte (prednisolone acetate) 1%,corticosteroid
predn,corticosteroid
predniso,corticosteroid
inv-prednisolone acetate 1% ophth. susp.,corticosteroid
predforte 1% eye drops,corticosteroid
fluoromet,corticosteroid
hydrocortisone oint 2.5%,corticosteroid
prednisol,corticosteroid
predforte (prednisolone) 1%,corticosteroid
flovent hfa,corticosteroid
ipilimumab,ctla-4-directed blocking antibody
inv-ipilimumab,ctla-4-directed blocking antibody
cobicistat,cytochrome p450 3a inhibitor
ritonavir,cytochrome p450 3a inhibitor
ritonavir (oral solution),cytochrome p450 3a inhibitor
letermovir,cytomegalovirus dna terminase complex inhibitor
val,cytomegalovirus nucleoside analog dna polymerase inhibitor
valganci,cytomegalovirus nucleoside analog dna polymerase inhibitor
valganciclovir oral solution,cytomegalovirus nucleoside analog dna polymerase inhibitor
valganciclovir suspension,cytomegalovirus nucleoside analog dna polymerase inhibitor
valganciclovir ,cytomegalovirus nucleoside analog dna polymerase inhibitor
valganciclovir,cytomegalovirus nucleoside analog dna polymerase inhibitor
valganciclovir (self med),cytomegalovirus nucleoside analog dna polymerase inhibitor
valganciclov,cytomegalovirus nucleoside analog dna polymerase inhibitor
valgancicl,cytomegalovirus nucleoside analog dna polymerase inhibitor
valgan,cytomegalovirus nucleoside analog dna polymerase inhibitor
valga,cytomegalovirus nucleoside analog dna polymerase inhibitor
valganciclovi,cytomegalovirus nucleoside analog dna polymerase inhibitor
ganciclovir,cytomegalovirus nucleoside analog dna polymerase inhibitor
valgancic,cytomegalovirus nucleoside analog dna polymerase inhibitor
cidofovir,cytomegalovirus nucleoside analog dna polymerase inhibitor
ganciclovir 0.15% ophth gel,cytomegalovirus nucleoside analog dna polymerase inhibitor
valganc,cytomegalovirus nucleoside analog dna polymerase inhibitor
valganciclo,cytomegalovirus nucleoside analog dna polymerase inhibitor
bleomycin,cytoprotective agent
mesna,cytoprotective agent
bleomycin - test dose,cytoprotective agent
succinylcholine,depolarizing neuromuscular blocker
fluorescein,diagnostic dye
fluorescein strip,diagnostic dye
zetia,dietary cholesterol absorption inhibitor
ezetimibe,dietary cholesterol absorption inhibitor
trimethoprim,dihydrofolate reductase inhibitor antibacterial
daraprim,dihydrofolate reductase inhibitor antimalarial
pyrimethamine *nf*,dihydrofolate reductase inhibitor antimalarial
pyrimethamine,dihydrofolate reductase inhibitor antimalarial
amlodipine,dihydropyridine calcium channel blocker
amlodipine-benazepril,dihydropyridine calcium channel blocker
nifedical xl,dihydropyridine calcium channel blocker
nifedipine (immediate release),dihydropyridine calcium channel blocker
felodip,dihydropyridine calcium channel blocker
nicardipine,dihydropyridine calcium channel blocker
nifedipine,dihydropyridine calcium channel blocker
nifedipine (extended release),dihydropyridine calcium channel blocker
lotrel,dihydropyridine calcium channel blocker
isradipine,dihydropyridine calcium channel blocker
felodipine,dihydropyridine calcium channel blocker
nimodipine,dihydropyridine calcium channel blocker
nifedipine cr,dihydropyridine calcium channel blocker
nicardipine iv,dihydropyridine calcium channel blocker
felod,dihydropyridine calcium channel blocker
clevidipine,dihydropyridine calcium channel blocker
felodi,dihydropyridine calcium channel blocker
procardia xl,dihydropyridine calcium channel blocker
sitagliptin 100mg,dipeptidyl peptidase 4 inhibitor
sitagliptin,dipeptidyl peptidase 4 inhibitor
januvia,dipeptidyl peptidase 4 inhibitor
dabigatran etexilate,direct thrombin inhibitor
metoclopramide (liquid),dopamine-2 receptor antagonist
metoclopramide,dopamine-2 receptor antagonist
metoclop,dopamine-2 receptor antagonist
micafungin,echinocandin antifungal
caspofungin desensitization,echinocandin antifungal
caspofungin,echinocandin antifungal
*nf* micafungin,echinocandin antifungal
caspofungin *nf*,echinocandin antifungal
hyaluronidase,endoglycosidase
ambrisentan,endothelin receptor antagonist
cetuximab,epidermal growth factor receptor antagonist
panitumumab,epidermal growth factor receptor antagonist
methylergonovine maleate,ergot derivative
cabergoline,ergot derivative
caduet,ergot derivative
bromfenac,ergot derivative
bromocriptine mesylate,ergot derivative
migergot,ergotamine derivative
ergotamine-caffeine,ergotamine derivative
dihydroergotamine mesylate,ergotamine derivative
retacrit,erythropoiesis-stimulating agent
epoetin,erythropoiesis-stimulating agent
epoetin alfa-epbx (retacrit),erythropoiesis-stimulating agent
epoe,erythropoiesis-stimulating agent
ara,erythropoiesis-stimulating agent
epoet,erythropoiesis-stimulating agent
epoetin alfa,erythropoiesis-stimulating agent
aranesp (in polysorbate),erythropoiesis-stimulating agent
darbepoetin alfa in polysorbat,erythropoiesis-stimulating agent
aranesp sureclick -polysorbate,erythropoiesis-stimulating agent
epogen,erythropoiesis-stimulating agent
aranesp (polysorbate),erythropoiesis-stimulating agent
epoetin ,erythropoiesis-stimulating agent
epo,erythropoiesis-stimulating agent
darbepoetin alfa,erythropoiesis-stimulating agent
chloroprocaine 3% mpf,ester local anesthetic
chloroprocaine 2% mpf,ester local anesthetic
chloroprocaine 2%,ester local anesthetic
tetracaine 0.5% ophth soln,ester local anesthetic
tetracaine hcl,ester local anesthetic
estrogens ,estrogen
estradiol 0.05mg/day patch,estrogen
estradiol,estrogen
vivelle,estrogen
estrogens,estrogen
estrace,estrogen
estradiol transdermal patch,estrogen
*nf* estradiol transdermal patch,estrogen
estrogens conjugated,estrogen
vivelle-dot,estrogen
premarin,estrogen
climara,estrogen
raloxifene,estrogen agonist/antagonist
tamoxifen citrate,estrogen agonist/antagonist
evista,estrogen agonist/antagonist
fulvestrant (faslodex),estrogen receptor antagonist
fulvestra,estrogen receptor antagonist
fulvestrant,estrogen receptor antagonist
desmopressin acetate 0.01% nasal spray,factor viii activator
desmopressin acetate,factor viii activator
desmopressin,factor viii activator
desmopressin nasal,factor viii activator
inv apixaban,factor xa inhibitor
fondaparinux,factor xa inhibitor
rivaroxa,factor xa inhibitor
xarelt,factor xa inhibitor
rivar,factor xa inhibitor
inv-apixaban,factor xa inhibitor
xarelto,factor xa inhibitor
apixaban,factor xa inhibitor
rivaro,factor xa inhibitor
edoxiban,factor xa inhibitor
inv-edoxaban,factor xa inhibitor
edoxaban,factor xa inhibitor
inv-rivaroxaban,factor xa inhibitor
rivaroxaban,factor xa inhibitor
leucovorin,folate analog
leucovorin calcium,folate analog
methotrexat,folate analog metabolic inhibitor
metho,folate analog metabolic inhibitor
pralatrexate,folate analog metabolic inhibitor
methotrexate sodium p.f.,folate analog metabolic inhibitor
methotrexate sodium,folate analog metabolic inhibitor
inv-pralatrexate,folate analog metabolic inhibitor
pemetrexed,folate analog metabolic inhibitor
methotr,folate analog metabolic inhibitor
methotrexate,folate analog metabolic inhibitor
meth,folate analog metabolic inhibitor
methotre,folate analog metabolic inhibitor
methotrexate ,folate analog metabolic inhibitor
bacl,gamma-aminobutyric acid-ergic agonist
baclofen intrathecal,gamma-aminobutyric acid-ergic agonist
zolpidem,gamma-aminobutyric acid-ergic agonist
1,gamma-aminobutyric acid-ergic agonist
zolpidem tartrate,gamma-aminobutyric acid-ergic agonist
